,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,959747.0,4864.0,891846,37.029,0.03554,2.54,19.994,16.003,20.01,1140960,2122527,4707688,10005024,17976199,1140960,2122527,10005024,4707688,0.92623156
1,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,961607.0,4906.0,367534,37.083,0.03637,2.543,20.01,16.002,20.004,1143085,2116163,4713535,10001851,17974634,1143085,2116163,10001851,4713535,0.9269003
2,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,959826.0,4841.0,805529,37.067,0.03528,2.548,19.984,16.003,20.005,1145088,2113238,4709178,10002288,17969792,1145088,2113238,10002288,4709178,0.92678636
3,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,961342.0,5013.0,645389,37.09,0.03633,2.549,19.99,15.991,19.988,1145450,2110364,4704818,9993786,17954418,1145450,2110364,9993786,4704818,0.9268363
4,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,955420.0,4775.0,682152,37.055,0.03367,2.543,19.987,15.992,20.004,1142844,2113862,4705374,10002226,17964306,1142844,2113862,10002226,4705374,0.9265109
5,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,953235.0,4652.0,213604,37.04,0.03268,2.548,19.997,15.987,19.994,1144812,2112263,4704279,9997112,17958466,1144812,2112263,9997112,4704279,0.9262879
6,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,959025.0,4793.0,629536,37.033,0.03514,2.545,20.009,15.993,19.994,1144481,2119520,4706606,9997026,17967633,1144481,2119520,9997026,4706606,0.92635864
7,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,954715.0,4910.0,914561,37.055,0.03313,2.55,20.002,15.991,20.0,1146291,2105713,4717931,9999885,17969820,1146291,2105713,9999885,4717931,0.92677355
8,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,959889.0,4804.0,684953,37.023,0.03561,2.546,19.998,15.999,20.0,1144041,2117105,4708024,10000054,17969224,1144041,2117105,10000054,4708024,0.9262249
9,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,957224.0,4886.0,546009,37.037,0.03416,2.552,20.011,16.004,19.998,1147093,2118396,4705358,9999046,17969893,1147093,2118396,9999046,4705358,0.9263699
10,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,956497.0,4828.0,901884,37.057,0.03399,2.551,19.988,15.995,20.003,1146417,2115346,4709253,10001662,17972678,1146417,2115346,10001662,4709253,0.92675644
11,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,960997.0,4837.0,892998,37.042,0.03628,2.55,19.991,15.996,20.001,1145247,2109990,4712206,10000740,17968183,1145247,2109990,10000740,4712206,0.9266127
12,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,960296.0,4829.0,318539,37.023,0.0357,2.55,19.996,16.0,20.0,1146536,2116353,4709281,9999972,17972142,1146536,2116353,9999972,4709281,0.92609596
13,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,959612.0,4714.0,599348,37.041,0.03533,2.547,20.025,15.994,20.002,1144479,2116596,4713988,10000867,17975930,1144479,2116596,10000867,4713988,0.9264517
14,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,957645.0,4870.0,423547,37.049,0.03442,2.548,19.997,15.995,19.999,1145055,2110917,4710176,9999587,17965735,1145055,2110917,9999587,4710176,0.9263457
15,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,965066.0,4872.0,667268,37.084,0.03831,2.55,20.006,16.002,20.012,1146169,2113482,4705980,10005934,17971565,1146169,2113482,10005934,4705980,0.9268102
16,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,957029.0,4891.0,477654,37.043,0.03414,2.544,20.003,15.993,20.004,1143620,2115777,4713198,10002236,17974831,1143620,2115777,10002236,4713198,0.92646843
17,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,959428.0,4692.0,709749,37.037,0.03532,2.548,19.986,15.991,19.995,1144625,2116556,4707293,9997596,17966070,1144625,2116556,9997596,4707293,0.92617667
18,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,963749.0,4787.0,982805,37.062,0.03762,2.547,20.019,16.0,20.0,1144762,2113454,4713356,9999973,17971545,1144762,2113454,9999973,4713356,0.92672074
19,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,961066.0,4781.0,973056,37.01,0.03634,2.547,19.998,15.994,20.01,1144145,2115860,4706290,10004944,17971239,1144145,2115860,10004944,4706290,0.9261336
20,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,958440.0,4877.0,993616,37.035,0.03495,2.549,20.004,15.993,20.008,1145000,2123781,4698550,10003880,17971211,1145000,2123781,10003880,4698550,0.9263173
21,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,966878.0,4818.0,263618,37.035,0.03952,2.544,19.995,15.996,19.994,1142400,2121551,4710079,9996826,17970856,1142400,2121551,9996826,4710079,0.92625815
22,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,954700.0,4803.0,954200,37.035,0.03326,2.546,20.003,15.999,19.997,1144664,2117358,4710809,9998743,17971574,1144664,2117358,9998743,4710809,0.9264953
23,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,956850.0,4880.0,558238,37.079,0.03389,2.555,20.007,15.996,20.007,1149008,2109701,4713406,10003366,17975481,1149008,2109701,10003366,4713406,0.9268025
24,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,960445.0,4785.0,751342,37.045,0.03577,2.544,20.002,15.995,19.999,1144037,2124614,4700658,9999302,17968611,1144037,2124614,9999302,4700658,0.9263337
25,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,958152.0,4759.0,676638,37.068,0.03466,2.545,20.004,16.002,19.999,1144521,2115966,4707939,9999550,17967976,1144521,2115966,9999550,4707939,0.9265416
26,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,964639.0,4816.0,714529,37.07,0.03797,2.556,20.007,15.999,20.005,1148732,2115260,4710315,10002638,17976945,1148732,2115260,10002638,4710315,0.92676467
27,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,961727.0,4790.0,707556,37.048,0.03659,2.549,19.999,16.002,20.011,1145330,2116796,4713389,10005364,17980879,1145330,2116796,10005364,4713389,0.9265403
28,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,962889.0,4914.0,237595,37.025,0.03719,2.553,19.994,16.008,20.01,1147352,2118368,4706463,10004902,17977085,1147352,2118368,10004902,4706463,0.92618155
29,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,961321.0,4904.0,481720,37.06,0.03642,2.549,20.009,15.985,20.007,1145771,2117418,4700927,10003500,17967616,1145771,2117418,10003500,4700927,0.9265238
