,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,957407.0,5135.0,859477,38.969,0.03335,2.221,20.001,15.996,19.986,942147,1741764,5070913,9993235,17748059,942147,1741764,9993235,5070913,0.95673496
1,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,961691.0,5102.0,980201,38.977,0.0353,2.224,19.995,16.002,19.998,943586,1746776,5078921,9998988,17768271,943586,1746776,9998988,5078921,0.9569353
2,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,950773.0,4995.0,151114,39.004,0.03072,2.226,20.006,16.005,19.999,944008,1737795,5081075,9999644,17762522,944008,1737795,9999644,5081075,0.9572462
3,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,963670.0,5180.0,399428,39.043,0.03635,2.223,19.992,15.999,20.002,943424,1736663,5076718,10000983,17757788,943424,1736663,10000983,5076718,0.9577313
4,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,959437.0,5147.0,147489,39.0,0.03402,2.223,20.01,16.0,19.995,942939,1743610,5073758,9997438,17757745,942939,1743610,9997438,5073758,0.9573823
5,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,963123.0,4963.0,792536,38.984,0.03594,2.224,19.993,16.004,20.004,943250,1746797,5074485,10002229,17766761,943250,1746797,10002229,5074485,0.9571838
6,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,965205.0,5120.0,458904,38.998,0.0372,2.224,20.009,16.004,20.0,943315,1742866,5073645,10000095,17759921,943315,1742866,10000095,5073645,0.95699996
7,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,954790.0,5026.0,273145,38.99,0.03207,2.223,20.01,15.998,19.994,943419,1742034,5082009,9996806,17764268,943419,1742034,9996806,5082009,0.95724726
8,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,952443.0,5018.0,256228,39.019,0.03124,2.226,19.995,16.006,19.995,944434,1746262,5077183,9997546,17765425,944434,1746262,9997546,5077183,0.95733994
9,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,966855.0,5226.0,737127,38.982,0.03806,2.227,20.0,16.009,20.007,944561,1749688,5071271,10003744,17769264,944561,1749688,10003744,5071271,0.95694673
10,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,966942.0,5294.0,309588,38.972,0.03809,2.228,19.99,16.0,20.002,945917,1745987,5075674,10000816,17768394,945917,1745987,10000816,5075674,0.95693845
11,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,959946.0,4953.0,195802,38.99,0.03457,2.225,19.999,15.996,19.994,943472,1744402,5070712,9997039,17755625,943472,1744402,9997039,5070712,0.9570999
12,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,963525.0,5213.0,94033,39.032,0.03632,2.225,19.995,15.987,20.006,943991,1745805,5070648,10002907,17763351,943991,1745805,10002907,5070648,0.95747715
13,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,959628.0,5136.0,441359,39.026,0.03424,2.229,19.987,16.003,19.995,946040,1742561,5071500,9997679,17757780,946040,1742561,9997679,5071500,0.9575242
14,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,963841.0,5135.0,957073,39.017,0.03642,2.227,20.006,16.004,20.003,945387,1748621,5071305,10001464,17766777,945387,1748621,10001464,5071305,0.9574942
15,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,954792.0,5030.0,714651,39.02,0.03219,2.229,19.997,16.0,19.999,945675,1738596,5069372,9999670,17753313,945675,1738596,9999670,5069372,0.95737773
16,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,963906.0,5115.0,507365,39.005,0.03646,2.227,20.022,16.0,19.997,944950,1744184,5077217,9998377,17764728,944950,1744184,9998377,5077217,0.9572618
17,republic of moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,964022.0,5037.0,326828,38.988,0.03656,2.22,19.994,16.004,19.995,942499,1744904,5078674,9997664,17763741,942499,1744904,9997664,5078674,0.95698833
