,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,946900.0,8161.0,664638,40.711,0.03475,1.727,19.999,16.004,19.993,607508,1902616,4507120,9996594,17013838,607508,1902616,9996594,4507120,0.9706138
1,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,946629.0,8095.0,937693,40.698,0.03446,1.726,20.001,16.0,20.002,606658,1914040,4496156,10001133,17017987,606658,1914040,10001133,4496156,0.9704817
2,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,948340.0,8115.0,71993,40.675,0.03496,1.725,19.998,15.987,19.998,605681,1913084,4495276,9999063,17013104,605681,1913084,9999063,4495276,0.97011447
3,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,948534.0,8058.0,743620,40.68,0.03523,1.723,19.965,15.996,19.997,605466,1904484,4504412,9998448,17012810,605466,1904484,9998448,4504412,0.97031075
4,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,959953.0,8142.0,516988,40.687,0.04061,1.731,19.985,15.995,19.997,608405,1913703,4498565,9998601,17019274,608405,1913703,9998601,4498565,0.970315
5,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,954089.0,8308.0,438469,40.727,0.03762,1.729,19.998,16.008,20.004,608128,1905028,4499616,10001984,17014756,608128,1905028,10001984,4499616,0.970665
6,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,944570.0,7922.0,211010,40.724,0.03376,1.728,20.0,15.999,19.998,607806,1910417,4501559,9998885,17018667,607806,1910417,9998885,4501559,0.97083104
7,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,952642.0,8095.0,341,40.65,0.03711,1.727,19.994,15.998,19.997,607674,1911846,4496763,9998443,17014726,607674,1911846,9998443,4496763,0.96991414
8,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,927438.0,7811.0,121954,40.74,0.02913,1.728,20.014,16.004,19.995,608241,1901807,4508772,9997721,17016541,608241,1901807,9997721,4508772,0.97084713
9,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,951555.0,8093.0,329525,40.703,0.03667,1.732,19.993,15.997,19.99,609825,1902961,4502315,9994956,17010057,609825,1902961,9994956,4502315,0.97047246
10,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,940886.0,8036.0,349030,40.723,0.03245,1.725,20.013,16.005,20.003,607638,1909852,4503115,10001613,17022218,607638,1909852,10001613,4503115,0.9707226
11,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,937534.0,7967.0,220887,40.678,0.03175,1.725,20.0,15.995,20.003,606672,1915971,4494056,10001620,17018319,606672,1915971,10001620,4494056,0.9701269
12,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,945187.0,8123.0,58394,40.724,0.03396,1.728,20.005,16.0,20.003,607803,1906082,4500341,10001355,17015581,607803,1906082,10001355,4500341,0.97068095
13,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,955212.0,8184.0,631842,40.737,0.03815,1.73,19.993,15.999,20.005,608692,1904324,4496425,10002562,17012003,608692,1904324,10002562,4496425,0.97088635
14,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,939657.0,7845.0,152747,40.713,0.03216,1.727,19.992,15.998,20.007,607102,1910475,4496984,10003343,17017904,607102,1910475,10003343,4496984,0.9705114
15,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,954219.0,8174.0,328312,40.703,0.03756,1.733,19.99,16.003,20.001,608823,1910550,4503155,10000313,17022841,608823,1910550,10000313,4503155,0.9705727
16,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,940992.0,8213.0,763889,40.758,0.03271,1.726,20.007,16.007,19.995,606416,1899383,4507750,9997640,17011189,606416,1899383,9997640,4507750,0.9709604
17,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,951386.0,8167.0,279105,40.671,0.03656,1.725,19.978,16.001,20.01,606426,1906938,4507682,10004919,17025965,606426,1906938,10004919,4507682,0.97043437
18,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,955557.0,8132.0,808412,40.732,0.03822,1.725,20.002,16.0,20.001,606646,1904624,4501299,10000577,17013146,606646,1904624,10000577,4501299,0.97075343
19,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,946274.0,7972.0,242283,40.739,0.03421,1.728,20.011,16.005,20.005,607905,1903766,4508473,10002582,17022726,607905,1903766,10002582,4508473,0.9710384
20,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,952691.0,8205.0,590599,40.71,0.03669,1.726,20.005,15.995,19.997,606654,1905634,4500530,9998698,17011516,606654,1905634,9998698,4500530,0.97056633
21,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,934316.0,8121.0,479608,40.705,0.03061,1.725,19.992,15.999,20.002,606950,1905987,4500474,10001143,17014554,606950,1905987,10001143,4500474,0.9703049
22,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,950859.0,8170.0,668512,40.693,0.03606,1.73,20.004,16.0,19.995,608526,1907231,4500017,9997674,17013448,608526,1907231,9997674,4500017,0.9701414
23,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,950759.0,8277.0,935213,40.727,0.03577,1.728,20.013,16.003,20.001,607994,1905078,4506410,10000468,17019950,607994,1905078,10000468,4506410,0.9708317
24,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,954235.0,8383.0,886264,40.695,0.03763,1.725,19.987,16.002,19.995,606267,1905093,4502773,9997724,17011857,606267,1905093,9997724,4502773,0.9704916
25,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,947470.0,8278.0,504385,40.711,0.03495,1.726,20.006,15.989,20.01,606811,1905197,4500603,10005122,17017733,606811,1905197,10005122,4500603,0.9706706
26,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,946536.0,8065.0,383824,40.688,0.03437,1.732,19.995,15.995,20.002,609144,1909345,4497056,10000861,17016406,609144,1909345,10000861,4497056,0.97028565
27,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,943239.0,8139.0,518889,40.694,0.0336,1.726,19.999,15.992,19.999,606170,1912651,4498188,9999400,17016409,606170,1912651,9999400,4498188,0.97014314
28,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,934230.0,7905.0,634929,40.723,0.03065,1.732,20.003,15.998,19.999,608557,1904741,4501729,9999369,17014396,608557,1904741,9999369,4501729,0.97040504
