,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,949877.0,7347.0,944308,40.279,0.03495,1.991,20.012,15.999,20.0,791551,1771352,4684293,10000125,17247321,791551,1771352,10000125,4684293,0.95744264
1,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,952919.0,7451.0,872413,40.256,0.03604,1.994,20.01,15.999,19.997,792375,1774435,4683320,9998568,17248698,792375,1774435,9998568,4683320,0.9570658
2,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,947720.0,7331.0,760507,40.298,0.0341,1.989,19.994,16.002,20.003,790424,1762080,4686483,10001476,17240463,790424,1762080,10001476,4686483,0.9575054
3,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,957481.0,7484.0,514103,40.288,0.03844,1.995,20.005,15.991,20.005,793263,1771280,4684836,10002691,17252070,793263,1771280,10002691,4684836,0.95749265
4,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,946300.0,7299.0,895603,40.225,0.03364,1.99,19.998,16.0,19.996,790225,1774519,4686187,9997895,17248826,790225,1774519,9997895,4686187,0.95686454
5,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,943858.0,7423.0,289290,40.263,0.0325,1.992,20.023,15.999,20.005,791912,1768247,4691768,10002576,17254503,791912,1768247,10002576,4691768,0.9572702
6,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,956360.0,7477.0,914718,40.287,0.03791,1.994,20.017,16.005,19.993,792702,1770275,4682750,9996602,17242329,792702,1770275,9996602,4682750,0.95768404
7,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,954183.0,7373.0,833782,40.243,0.03681,1.992,19.987,16.002,20.0,791940,1772556,4684814,10000047,17249357,791940,1772556,10000047,4684814,0.9568885
8,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,953340.0,7557.0,711441,40.305,0.03653,1.99,20.005,15.993,20.0,790684,1769660,4681848,10000230,17242422,790684,1769660,10000230,4681848,0.9576935
9,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,954799.0,7402.0,267743,40.241,0.03715,1.993,20.02,16.003,19.999,791747,1772738,4684887,9999623,17248995,791747,1772738,9999623,4684887,0.95696694
