,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,810925.0,9402.0,754867,44.881,0.01706,1.612,19.988,15.996,20.004,523414,1547617,4520988,10001814,16593833,523414,1547617,10001814,4520988,1.0125461
1,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,810142.0,9264.0,762406,44.823,0.01699,1.615,20.002,16.005,20.005,523828,1550148,4530449,10002290,16606715,523828,1550148,10002290,4530449,1.0120243
2,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,622171.0,6941.0,335332,44.878,0.01157,1.611,19.994,15.993,20.003,522822,1544020,4521464,10001582,16589888,522822,1544020,10001582,4521464,1.0126386
3,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,803622.0,9384.0,703513,44.853,0.01676,1.609,19.996,15.995,20.004,521371,1544891,4528460,10001844,16596566,521371,1544891,10001844,4528460,1.0122379
4,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,751800.0,8653.0,496933,44.867,0.01464,1.612,19.998,15.99,20.006,523174,1543696,4526870,10003077,16596817,523174,1543696,10003077,4526870,1.0122159
5,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,830166.0,9934.0,890864,44.873,0.01801,1.611,20.002,15.994,20.0,522243,1548003,4529314,9999757,16599317,522243,1548003,9999757,4529314,1.0124254
6,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,714554.0,8190.0,555970,44.89,0.01359,1.617,20.006,16.009,19.997,525605,1541901,4530020,9998517,16596043,525605,1541901,9998517,4530020,1.012498
7,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,801251.0,9348.0,440450,44.877,0.01662,1.615,19.981,16.005,19.994,523551,1541167,4527901,9996921,16589540,523551,1541167,9996921,4527901,1.0123193
8,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,877344.0,10524.0,138111,44.848,0.02153,1.613,20.004,16.0,19.999,522988,1548251,4527855,9999724,16598818,522988,1548251,9999724,4527855,1.0121001
9,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,731394.0,8234.0,109655,44.842,0.01404,1.613,20.017,15.99,19.999,523800,1548063,4521371,9999527,16592761,523800,1548063,9999527,4521371,1.0121628
10,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,738799.0,8311.0,282149,44.818,0.01427,1.612,20.014,16.005,20.004,522333,1554226,4527520,10002139,16606218,522333,1554226,10002139,4527520,1.0115058
11,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,783266.0,9062.0,764617,44.856,0.0158,1.616,19.996,16.006,20.002,523982,1545816,4531086,10000997,16601881,523982,1545816,10000997,4531086,1.0123347
12,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,779018.0,8973.0,458902,44.865,0.0157,1.614,20.014,16.007,20.004,523764,1549332,4528851,10001890,16603837,523764,1549332,10001890,4528851,1.0122958
13,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,793372.0,9154.0,988735,44.846,0.01628,1.609,19.992,15.993,20.001,521215,1545533,4531545,10000398,16598691,521215,1545533,10000398,4531545,1.012226
14,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,742570.0,8488.0,810046,44.909,0.01437,1.616,20.011,15.996,19.998,524468,1542809,4528404,9999085,16594766,524468,1542809,9999085,4528404,1.0127369
15,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,754526.0,8588.0,985381,44.864,0.01476,1.614,19.997,16.006,20.003,523995,1548494,4522040,10001392,16595921,523995,1548494,10001392,4522040,1.0120202
16,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,851755.0,10007.0,295410,44.821,0.01945,1.609,19.993,16.002,20.001,521976,1541516,4532195,10000720,16596407,521976,1541516,10000720,4532195,1.011712
17,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,798873.0,9432.0,236047,44.849,0.01646,1.612,20.002,16.006,20.002,523434,1550622,4528855,10001019,16603930,523434,1550622,10001019,4528855,1.0117987
18,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,845844.0,10006.0,404014,44.837,0.0191,1.612,19.999,16.009,19.995,522430,1543250,4535359,9997628,16598667,522430,1543250,9997628,4535359,1.0119731
19,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,807342.0,9460.0,127511,44.841,0.0169,1.609,19.984,16.006,20.0,520789,1547209,4529603,10000123,16597724,520789,1547209,10000123,4529603,1.0120176
20,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,849947.0,10048.0,113784,44.848,0.01926,1.614,20.0,16.003,20.0,524245,1545580,4527924,10000129,16597878,524245,1545580,10000129,4527924,1.0120847
21,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,688863.0,7799.0,559499,44.842,0.01291,1.614,20.015,15.997,19.998,523792,1545351,4527414,9998829,16595386,523792,1545351,9998829,4527414,1.0119393
22,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,842763.0,10033.0,455137,44.874,0.01877,1.613,19.986,15.996,20.004,523416,1544304,4525289,10002091,16595100,523416,1544304,10002091,4525289,1.012544
23,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,802105.0,9363.0,386158,44.834,0.01675,1.611,19.992,15.998,19.993,522677,1546304,4526199,9996623,16591803,522677,1546304,9996623,4526199,1.011833
24,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,846953.0,9850.0,113360,44.836,0.01913,1.611,19.993,15.994,20.003,521986,1542183,4528385,10001333,16593887,521986,1542183,10001333,4528385,1.0118005
25,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,809035.0,9445.0,951625,44.804,0.01692,1.611,20.002,16.008,20.006,522621,1547590,4532183,10003141,16605535,522621,1547590,10003141,4532183,1.0117093
26,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,823907.0,9593.0,357969,44.851,0.01771,1.615,20.007,15.998,20.006,523652,1546756,4530719,10003008,16604135,523652,1546756,10003008,4530719,1.0120949
27,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,836285.0,10013.0,16857,44.819,0.01842,1.612,20.017,16.008,20.002,522197,1545992,4531850,10001246,16601285,522197,1545992,10001246,4531850,1.0118301
28,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,787798.0,9221.0,33943,44.834,0.01603,1.609,19.997,16.002,19.995,522042,1547062,4524165,9997306,16590575,522042,1547062,9997306,4524165,1.0121468
29,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,808448.0,9445.0,373012,44.888,0.0168,1.613,19.988,16.002,19.999,524466,1538958,4534391,9999574,16597389,524466,1538958,9999574,4534391,1.0126209
