,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,925843.0,1040.0,25977,21.497,0.03321,3.901,19.998,15.999,19.995,1907485,4052337,2967383,9997349,18924554,1907485,4052337,9997349,2967383,0.71311706
1,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,919347.0,964.0,400444,21.526,0.03161,3.892,19.99,15.997,19.996,1903970,4040808,2975016,9998108,18917902,1903970,4040808,9998108,2975016,0.71370226
2,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,916943.0,939.0,446399,21.528,0.03082,3.897,20.008,16.004,19.991,1905467,4054957,2975046,9995422,18930892,1905467,4054957,9995422,2975046,0.71357673
3,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,913561.0,977.0,728978,21.546,0.02994,3.895,20.01,16.004,19.999,1904443,4054657,2976531,9999424,18935055,1904443,4054657,9999424,2976531,0.7142163
4,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,914194.0,1004.0,720109,21.554,0.03007,3.899,20.0,15.986,20.001,1906406,4044789,2974980,10000473,18926648,1906406,4044789,10000473,2974980,0.71395
5,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,938734.0,986.0,577786,21.519,0.03711,3.907,20.002,15.995,19.993,1910347,4050845,2971929,9996644,18929765,1910347,4050845,9996644,2971929,0.71361727
6,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,916458.0,980.0,135807,21.517,0.03083,3.907,20.003,16.005,19.994,1910505,4047796,2976854,9997193,18932348,1910505,4047796,9997193,2976854,0.71377677
7,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,923329.0,910.0,84638,21.537,0.03226,3.907,20.008,16.0,19.999,1910221,4053095,2971666,9999525,18934507,1910221,4053095,9999525,2971666,0.7137534
8,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,926140.0,980.0,193299,21.548,0.03312,3.894,19.997,16.004,19.995,1904157,4048125,2976712,9997435,18926429,1904157,4048125,9997435,2976712,0.7139657
9,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,925638.0,1011.0,170174,21.523,0.0331,3.893,19.995,15.997,20.003,1903315,4051691,2973358,10001251,18929615,1903315,4051691,10001251,2973358,0.7136994
10,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,925097.0,955.0,409643,21.501,0.03298,3.896,19.994,15.991,19.996,1905497,4050731,2964455,9997811,18918494,1905497,4050731,9997811,2964455,0.7130955
11,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,932177.0,982.0,73648,21.558,0.03483,3.902,19.986,15.987,19.997,1908023,4037668,2975109,9998419,18919219,1908023,4037668,9998419,2975109,0.71402013
12,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,909405.0,932.0,183637,21.499,0.02923,3.902,19.992,15.997,20.002,1908387,4048881,2966580,10001158,18925006,1908387,4048881,10001158,2966580,0.71319556
13,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,932190.0,1082.0,876288,21.541,0.03485,3.902,20.003,16.006,20.006,1907497,4049977,2974232,10003104,18934810,1907497,4049977,10003104,2974232,0.71378905
14,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,924796.0,1017.0,119303,21.506,0.03284,3.894,20.002,15.99,20.004,1904138,4054177,2965156,10002103,18925574,1904138,4054177,10002103,2965156,0.7133696
15,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,920839.0,972.0,122503,21.531,0.03178,3.903,19.997,15.999,20.002,1908293,4050292,2971984,10000988,18931557,1908293,4050292,10000988,2971984,0.7137863
16,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,929357.0,949.0,415655,21.504,0.03401,3.893,20.009,16.007,20.001,1903826,4053614,2974294,10000671,18932405,1903826,4053614,10000671,2974294,0.7134377
17,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,916387.0,1028.0,737231,21.486,0.03071,3.899,19.994,15.999,20.0,1906238,4052519,2965794,10000012,18924563,1906238,4052519,10000012,2965794,0.71316123
