,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,953972.0,10272.0,291753,43.623,0.03168,2.056,19.983,16.003,19.992,835467,1920769,4349829,9996215,17102280,835467,1920769,9996215,4349829,0.99997914
1,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,958654.0,10156.0,597876,43.657,0.03342,2.056,20.003,16.002,20.001,834805,1918307,4355353,10000261,17108726,834805,1918307,10000261,4355353,1.0002811
2,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,955617.0,10054.0,945835,43.636,0.03224,2.057,20.002,15.995,20.001,834739,1920638,4346396,10000384,17102157,834739,1920638,10000384,4346396,1.0001799
3,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,961145.0,10215.0,931930,43.684,0.03467,2.057,20.0,16.005,20.007,835090,1912603,4351210,10003560,17102463,835090,1912603,10003560,4351210,1.0007939
4,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,964695.0,10258.0,448044,43.616,0.03625,2.055,20.002,16.005,19.997,833609,1921503,4357877,9998602,17111591,833609,1921503,9998602,4357877,0.9997982
5,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,960708.0,10227.0,164666,43.665,0.03432,2.06,19.985,16.003,20.002,836181,1915576,4353967,10000776,17106500,836181,1915576,10000776,4353967,1.0004652
6,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,957083.0,10261.0,242233,43.649,0.03274,2.058,19.995,16.005,19.997,834856,1917182,4353101,9998647,17103786,834856,1917182,9998647,4353101,1.0003036
7,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,950721.0,9952.0,782937,43.63,0.03064,2.06,20.007,15.991,20.002,835811,1916670,4352515,10001051,17106047,835811,1916670,10001051,4352515,1.0000535
8,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,967746.0,10291.0,442523,43.608,0.03832,2.055,19.999,16.001,20.007,833159,1919532,4349834,10003576,17106101,833159,1919532,10003576,4349834,0.9996718
9,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,953427.0,10032.0,647888,43.648,0.03158,2.058,19.994,15.997,19.999,835766,1915128,4353585,9999574,17104053,835766,1915128,9999574,4353585,1.0001739
10,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,961518.0,10335.0,693542,43.624,0.03479,2.056,20.008,15.999,19.993,834333,1918638,4353572,9996480,17103023,834333,1918638,9996480,4353572,0.99969554
11,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,969439.0,10150.0,664246,43.673,0.03921,2.059,20.013,16.004,19.993,835483,1916300,4352138,9996490,17100411,835483,1916300,9996490,4352138,1.0006104
12,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,966864.0,10320.0,354336,43.616,0.03742,2.056,19.999,15.998,20.006,833945,1917308,4355428,10002762,17109443,833945,1917308,10002762,4355428,0.99996823
13,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,961278.0,10204.0,945847,43.651,0.03465,2.058,19.999,15.996,19.998,835652,1920019,4350261,9999097,17105029,835652,1920019,9999097,4350261,1.0002112
14,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,963744.0,10177.0,919317,43.617,0.03592,2.058,20.011,16.0,20.007,834914,1923428,4346300,10003385,17108027,834914,1923428,10003385,4346300,0.99975723
15,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,962992.0,10133.0,435625,43.639,0.03567,2.058,20.021,15.999,20.002,835011,1924822,4344480,10001124,17105437,835011,1924822,10001124,4344480,1.0000584
16,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,959940.0,10109.0,421558,43.609,0.03401,2.058,19.998,15.996,20.0,835060,1919375,4355591,10000217,17110243,835060,1919375,10000217,4355591,0.99974567
17,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,965222.0,10168.0,543916,43.635,0.03658,2.058,19.999,16.002,19.997,834809,1918683,4355037,9998699,17107228,834809,1918683,9998699,4355037,1.0000846
18,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,964002.0,10390.0,958622,43.671,0.03598,2.059,20.006,16.009,19.996,835153,1913982,4361201,9997809,17108145,835153,1913982,9997809,4361201,1.0005444
19,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,967475.0,10438.0,870646,43.639,0.03795,2.059,20.012,16.008,19.991,836218,1917829,4358743,9995706,17108496,836218,1917829,9995706,4358743,1.0001637
20,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,963807.0,10291.0,514827,43.659,0.03589,2.059,20.008,16.005,20.003,835645,1913527,4357980,10001558,17108710,835645,1913527,10001558,4357980,1.0005066
21,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,956034.0,10093.0,542476,43.63,0.03261,2.057,20.001,16.002,19.997,834600,1918225,4352292,9998691,17103808,834600,1918225,9998691,4352292,1.0002086
22,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,963774.0,10331.0,480431,43.651,0.03584,2.06,19.998,15.996,20.0,837037,1914178,4349565,9999859,17100639,837037,1914178,9999859,4349565,1.0003328
23,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,963862.0,10378.0,508607,43.653,0.03606,2.055,19.997,16.0,20.01,834423,1911703,4356715,10005046,17107887,834423,1911703,10005046,4356715,1.0002731
24,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,960101.0,10113.0,852415,43.639,0.03414,2.055,19.989,16.002,20.005,834985,1912998,4351567,10002309,17101859,834985,1912998,10002309,4351567,0.9998801
25,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,965833.0,10299.0,216288,43.623,0.03704,2.056,19.997,16.004,20.007,834288,1918240,4357004,10003544,17113076,834288,1918240,10003544,4357004,0.99998546
26,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,962844.0,9977.0,677153,43.697,0.03533,2.057,19.996,15.997,20.01,835709,1913799,4348888,10005099,17103495,835709,1913799,10005099,4348888,1.0007279
27,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,966022.0,10317.0,370660,43.602,0.03727,2.06,20.001,15.997,20.0,836033,1921972,4351363,9999824,17109192,836033,1921972,9999824,4351363,0.99969095
28,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,955824.0,10202.0,713160,43.659,0.03218,2.058,20.015,16.008,19.995,836122,1922642,4351312,9997562,17107638,836122,1922642,9997562,4351312,1.0000807
29,puerto rico,1000000,1000,2020-01-01,2020-12-31,hybrid,969049.0,10248.0,909732,43.645,0.03881,2.059,19.983,16.005,19.997,836230,1919638,4352443,9998589,17106900,836230,1919638,9998589,4352443,1.0003077
