,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,955613.0,2925.0,482155,32.494,0.03689,2.718,20.0,15.999,20.004,1246006,2393621,4687977,10001930,18329534,1246006,2393621,10001930,4687977,0.8725737
1,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,930663.0,2814.0,593399,32.508,0.02832,2.713,19.997,16.003,20.0,1244797,2393133,4686242,10000216,18324388,1244797,2393133,10000216,4686242,0.87261724
2,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,936688.0,2768.0,140460,32.555,0.0297,2.717,19.982,16.001,19.998,1245377,2380804,4696708,9999143,18322032,1245377,2380804,9999143,4696708,0.8735444
3,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,931939.0,2864.0,192656,32.536,0.02848,2.72,20.013,16.004,19.994,1247668,2385492,4694461,9997012,18324633,1247668,2385492,9997012,4694461,0.8732004
4,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,956552.0,2874.0,568699,32.531,0.03731,2.718,19.992,15.997,19.993,1246919,2387036,4691069,9996314,18321338,1246919,2387036,9996314,4691069,0.8730968
5,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,941402.0,2811.0,439372,32.505,0.03126,2.715,20.004,16.002,19.996,1245096,2387405,4694710,9998179,18325390,1245096,2387405,9998179,4694710,0.87296534
6,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,944101.0,2924.0,591752,32.551,0.03208,2.719,20.01,16.008,20.002,1247064,2386164,4694731,10000816,18328775,1247064,2386164,10000816,4694731,0.87326247
7,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,953793.0,2871.0,623711,32.511,0.03616,2.72,20.003,16.002,20.001,1247627,2381958,4696330,10000726,18326641,1247627,2381958,10000726,4696330,0.8728192
8,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,951904.0,2908.0,408758,32.514,0.03511,2.714,20.002,15.993,20.001,1244998,2393184,4692362,10000422,18330966,1244998,2393184,10000422,4692362,0.8729926
9,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,948057.0,2908.0,204577,32.525,0.03356,2.719,20.012,15.998,19.999,1246787,2386752,4688894,9999356,18321789,1246787,2386752,9999356,4688894,0.8727959
10,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,945576.0,2896.0,435375,32.503,0.03279,2.715,19.983,15.999,19.999,1245008,2388200,4693012,9999573,18325793,1245008,2388200,9999573,4693012,0.8725893
11,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,945826.0,2831.0,662362,32.534,0.03273,2.711,20.007,15.999,19.993,1243552,2390108,4687930,9996412,18318002,1243552,2390108,9996412,4687930,0.873195
12,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,950141.0,2891.0,812568,32.558,0.03445,2.722,20.001,16.005,20.006,1248398,2381168,4692396,10003054,18325016,1248398,2381168,10003054,4692396,0.8733183
13,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,938646.0,2882.0,481122,32.534,0.03035,2.713,19.995,16.011,20.006,1245105,2388532,4695349,10003243,18332229,1245105,2388532,10003243,4695349,0.87318856
14,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,967021.0,2980.0,559004,32.537,0.04411,2.712,19.993,15.995,20.005,1243410,2376999,4693559,10002348,18316316,1243410,2376999,10002348,4693559,0.87291425
15,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,949077.0,2859.0,654916,32.523,0.0341,2.714,19.994,16.001,20.008,1245018,2386668,4690713,10004179,18326578,1245018,2386668,10004179,4690713,0.8730355
16,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,949953.0,2943.0,420772,32.541,0.03441,2.715,20.006,16.0,19.998,1245242,2383788,4691919,9999118,18320067,1245242,2383788,9999118,4691919,0.8730749
17,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,939077.0,2744.0,412687,32.557,0.03045,2.717,19.997,16.002,20.001,1245685,2387467,4689320,10000472,18322944,1245685,2387467,10000472,4689320,0.8731686
18,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,943198.0,2885.0,758063,32.546,0.03175,2.718,20.017,15.996,19.999,1246874,2386409,4700991,9999471,18333745,1246874,2386409,9999471,4700991,0.87352544
19,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,952635.0,2954.0,87741,32.519,0.03529,2.715,20.001,15.995,20.004,1245094,2381553,4695315,10001877,18323839,1245094,2381553,10001877,4695315,0.8729033
