,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,956529.0,7404.0,778788,42.906,0.03215,1.951,19.992,15.996,20.004,763903,1506500,5054294,10001923,17326620,763903,1506500,10001923,5054294,0.99635786
1,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,937689.0,7136.0,509860,42.841,0.02676,1.956,20.004,15.998,20.002,766252,1517749,5049333,10001158,17334492,766252,1517749,10001158,5049333,0.9953535
2,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,958949.0,7379.0,289354,42.854,0.03313,1.95,20.004,16.003,19.994,764309,1517083,5053939,9997081,17332412,764309,1517083,9997081,5053939,0.9956471
3,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,967842.0,7428.0,1578,42.82,0.03795,1.952,19.991,15.991,19.999,763942,1515393,5046981,9999639,17325955,763942,1515393,9999639,5046981,0.9953859
4,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,956772.0,7350.0,658939,42.86,0.0323,1.951,20.006,15.999,19.997,764260,1514333,5046519,9998339,17323451,764260,1514333,9998339,5046519,0.9958096
5,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,968505.0,7497.0,991118,42.847,0.03788,1.957,19.968,16.003,19.999,766646,1515289,5049343,9999707,17330985,766646,1515289,9999707,5049343,0.99556935
6,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,958238.0,7342.0,778880,42.865,0.03295,1.951,19.982,15.994,19.996,764604,1510939,5051637,9998056,17325236,764604,1510939,9998056,5051637,0.9957512
7,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,955828.0,7337.0,533026,42.86,0.03212,1.95,20.0,15.996,20.004,763191,1517750,5049931,10002126,17332998,763191,1517750,10002126,5049931,0.99601114
8,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,956862.0,7378.0,594901,42.878,0.03232,1.952,19.997,15.993,20.008,764737,1513710,5047308,10003932,17329687,764737,1513710,10003932,5047308,0.99603325
9,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,958865.0,7225.0,974048,42.849,0.03306,1.951,19.997,15.993,19.996,764573,1515177,5050680,9997787,17328217,764573,1515177,9997787,5050680,0.9955217
10,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,957838.0,7399.0,961771,42.871,0.0327,1.952,19.988,15.998,19.999,764303,1513682,5047448,9999439,17324872,764303,1513682,9999439,5047448,0.9958947
11,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,964665.0,7520.0,951846,42.872,0.03589,1.955,20.004,15.995,20.009,766284,1513711,5050384,10004593,17334972,766284,1513711,10004593,5050384,0.99577725
12,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,951793.0,7395.0,872676,42.847,0.03061,1.948,19.988,15.991,20.001,763287,1513516,5048523,10000337,17325663,763287,1513516,10000337,5048523,0.99575746
13,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,962263.0,7357.0,785855,42.907,0.03451,1.95,20.027,16.002,20.008,764360,1511986,5054827,10004034,17335207,764360,1511986,10004034,5054827,0.996779
14,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,966140.0,7514.0,832936,42.877,0.0364,1.952,19.998,15.996,19.999,765225,1514669,5047784,9999407,17327085,765225,1514669,9999407,5047784,0.9959577
15,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,965304.0,7444.0,656815,42.841,0.03609,1.95,19.993,16.003,19.992,763948,1510456,5056634,9996180,17327218,763948,1510456,9996180,5056634,0.9955492
16,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,922025.0,7130.0,673287,42.881,0.02387,1.949,20.001,15.989,20.006,763314,1518941,5039642,10002787,17324684,763314,1518941,10002787,5039642,0.99606466
17,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,957752.0,7219.0,355996,42.842,0.03275,1.953,19.993,15.992,19.996,764495,1512349,5045520,9997902,17320266,764495,1512349,9997902,5045520,0.9958369
18,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,963340.0,7494.0,222570,42.874,0.03516,1.952,19.991,16.007,20.013,764098,1514535,5050036,10006648,17335317,764098,1514535,10006648,5050036,0.9959373
19,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,962727.0,7458.0,813761,42.831,0.0349,1.95,19.98,15.992,20.002,763546,1514969,5046037,10001083,17325635,763546,1514969,10001083,5046037,0.9954443
20,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,967731.0,7533.0,230277,42.843,0.03759,1.954,20.015,15.998,20.0,765424,1515494,5047045,10000205,17328168,765424,1515494,10000205,5047045,0.9954649
21,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,966688.0,7539.0,236930,42.872,0.03694,1.951,20.014,16.0,19.999,764563,1514061,5052916,9999666,17331206,764563,1514061,9999666,5052916,0.9959679
22,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,956436.0,7315.0,298988,42.867,0.03206,1.954,19.997,15.996,20.003,765220,1513593,5050471,10001329,17330613,765220,1513593,10001329,5050471,0.99587315
23,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,957898.0,7409.0,402784,42.856,0.03284,1.95,20.005,16.0,20.0,763672,1511271,5054996,10000124,17330063,763672,1511271,10000124,5054996,0.9959754
24,south korea,1000000,1000,2020-01-01,2020-12-31,hybrid,955277.0,7453.0,151330,42.861,0.03181,1.954,19.992,15.993,20.008,764589,1511795,5049107,10003921,17329412,764589,1511795,10003921,5049107,0.9957791
