,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957349.0,2558.0,710269,30.141,0.03319,3.57,19.993,15.993,19.999,1728973,2928924,4349736,9999591,19007224,1728973,2928924,9999591,4349736,0.8494407
1,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,958671.0,2607.0,113713,30.164,0.03373,3.584,20.007,16.005,20.0,1735660,2928299,4354542,9999752,19018253,1735660,2928299,9999752,4354542,0.84955233
2,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,949358.0,2507.0,40199,30.146,0.0301,3.576,19.996,15.992,19.999,1732187,2925223,4345052,9999258,19001720,1732187,2925223,9999258,4345052,0.84926444
3,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,959577.0,2575.0,520478,30.138,0.0344,3.574,20.008,15.998,20.003,1731064,2939898,4340685,10001359,19013006,1731064,2939898,10001359,4340685,0.8491334
4,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,955164.0,2635.0,578497,30.197,0.03223,3.587,20.01,15.994,19.997,1737798,2925688,4353936,9998534,19015956,1737798,2925688,9998534,4353936,0.8501243
5,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,953444.0,2489.0,389849,30.159,0.03158,3.581,19.997,15.995,19.999,1734660,2930879,4349606,9999517,19014662,1734660,2930879,9999517,4349606,0.84946
6,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,956282.0,2667.0,987686,30.173,0.03273,3.585,19.993,15.995,20.005,1736526,2923508,4353863,10002556,19016453,1736526,2923508,10002556,4353863,0.84982866
7,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,958931.0,2637.0,165138,30.167,0.03372,3.578,20.019,16.0,19.995,1732925,2933006,4355468,9997548,19018947,1732925,2933006,9997548,4355468,0.84961146
8,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,956526.0,2608.0,904079,30.155,0.03276,3.589,19.978,16.005,19.994,1738692,2923402,4357580,9996931,19016605,1738692,2923402,9996931,4357580,0.8496986
9,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,955498.0,2684.0,411544,30.159,0.03239,3.584,19.989,16.005,19.999,1736441,2925564,4353626,9999461,19015092,1736441,2925564,9999461,4353626,0.84963536
10,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957613.0,2576.0,800745,30.144,0.0331,3.586,20.012,15.993,19.995,1737800,2937228,4344185,9997589,19016802,1737800,2937228,9997589,4344185,0.849182
11,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,941876.0,2546.0,565483,30.127,0.02787,3.581,19.998,16.011,20.007,1734472,2936684,4345292,10003710,19020158,1734472,2936684,10003710,4345292,0.84908354
12,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,961523.0,2583.0,920033,30.153,0.03501,3.574,20.004,15.994,20.001,1731351,2931309,4352863,10000293,19015816,1731351,2931309,10000293,4352863,0.8494484
13,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962830.0,2675.0,81067,30.127,0.03596,3.572,20.01,15.992,20.004,1730431,2934946,4345065,10001981,19012423,1730431,2934946,10001981,4345065,0.84922516
14,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,944710.0,2462.0,812380,30.195,0.02847,3.579,20.002,15.99,19.994,1733080,2923680,4354664,9997247,19008671,1733080,2923680,9997247,4354664,0.84986824
15,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,948741.0,2573.0,353262,30.165,0.02977,3.578,20.0,16.001,20.0,1732903,2922957,4357566,9999935,19013361,1732903,2922957,9999935,4357566,0.84956926
16,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,959641.0,2616.0,101862,30.165,0.03416,3.578,19.993,16.005,20.0,1733251,2929041,4354298,10000056,19016646,1733251,2929041,10000056,4354298,0.84973073
17,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962907.0,2643.0,305443,30.172,0.0357,3.585,20.016,16.006,19.991,1736790,2930019,4352555,9995254,19014618,1736790,2930019,9995254,4352555,0.8495293
18,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,937156.0,2479.0,801937,30.144,0.02656,3.581,19.994,16.002,19.999,1735137,2930871,4349569,9999728,19015305,1735137,2930871,9999728,4349569,0.84958327
19,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,955103.0,2691.0,598560,30.172,0.03212,3.578,20.009,16.002,19.999,1733175,2925351,4356306,9999659,19014491,1733175,2925351,9999659,4356306,0.8496643
20,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957040.0,2646.0,279052,30.182,0.03278,3.581,20.01,16.002,19.998,1735070,2928460,4356573,9998874,19018977,1735070,2928460,9998874,4356573,0.8499249
21,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,948698.0,2630.0,803028,30.155,0.02982,3.579,19.994,15.993,20.007,1733352,2927226,4350960,10003410,19014948,1733352,2927226,10003410,4350960,0.8494164
22,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,959268.0,2587.0,167581,30.179,0.03389,3.579,20.009,16.006,19.993,1733109,2931300,4355113,9996287,19015809,1733109,2931300,9996287,4355113,0.849592
23,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,954338.0,2599.0,627132,30.153,0.03187,3.582,19.992,16.007,20.004,1734795,2932070,4352558,10002145,19021568,1734795,2932070,10002145,4352558,0.84939504
24,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,946087.0,2544.0,659836,30.16,0.02891,3.573,20.004,15.992,19.995,1730669,2928265,4351676,9997648,19008258,1730669,2928265,9997648,4351676,0.8495398
25,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,959909.0,2538.0,527612,30.133,0.03447,3.574,20.001,15.995,20.001,1731516,2930517,4353198,10000563,19015794,1731516,2930517,10000563,4353198,0.84936404
26,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,967142.0,2654.0,697473,30.161,0.038,3.579,20.006,16.001,20.0,1733762,2930439,4350704,10000114,19015019,1733762,2930439,10000114,4350704,0.84966123
27,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,956568.0,2656.0,601983,30.113,0.03287,3.577,19.994,15.999,20.0,1732698,2938289,4346828,9999834,19017649,1732698,2938289,9999834,4346828,0.8490351
28,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957428.0,2624.0,728547,30.145,0.03311,3.579,20.006,15.998,20.003,1733795,2938138,4347688,10001591,19021212,1733795,2938138,10001591,4347688,0.8493238
29,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,936094.0,2588.0,779301,30.207,0.02624,3.583,19.985,15.998,20.002,1735824,2916470,4356486,10000850,19009630,1735824,2916470,10000850,4356486,0.8503228
