,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,958530.0,5158.0,213600,38.354,0.03092,2.7,19.991,16.004,19.996,1236034,2105511,4774213,9997797,18113555,1236034,2105511,9997797,4774213,0.9469256
1,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,964560.0,5185.0,306962,38.374,0.03362,2.703,20.001,15.992,19.997,1238443,2101960,4774328,9998665,18113396,1238443,2101960,9998665,4774328,0.94738144
2,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,966014.0,5114.0,510700,38.384,0.03419,2.71,20.003,16.005,19.995,1241155,2099504,4782462,9997534,18120655,1241155,2099504,9997534,4782462,0.9473877
3,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,964273.0,5150.0,618769,38.338,0.03334,2.7,20.012,16.007,19.996,1236739,2108460,4776278,9998116,18119593,1236739,2108460,9998116,4776278,0.9470829
4,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,962111.0,5265.0,925152,38.392,0.03248,2.702,19.992,15.996,19.992,1237063,2102665,4774213,9995821,18109762,1237063,2102665,9995821,4774213,0.94788057
5,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,972650.0,5161.0,900737,38.34,0.03853,2.699,20.001,15.998,20.005,1235603,2113347,4764567,10002482,18115999,1235603,2113347,10002482,4764567,0.9469032
6,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,961153.0,5168.0,720797,38.365,0.03198,2.699,19.994,15.995,19.999,1236391,2096073,4778889,9999351,18110704,1236391,2096073,9999351,4778889,0.9475019
7,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,970036.0,5306.0,95402,38.376,0.03667,2.706,19.978,15.992,20.001,1239692,2103048,4772129,10000571,18115440,1239692,2103048,10000571,4772129,0.9476735
8,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,967910.0,5136.0,194599,38.369,0.03541,2.708,19.994,15.998,19.998,1240341,2104737,4774282,9998871,18118231,1240341,2104737,9998871,4774282,0.9472176
9,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,976348.0,5266.0,185517,38.353,0.0416,2.707,20.011,15.998,19.995,1239781,2111592,4773586,9997630,18122589,1239781,2111592,9997630,4773586,0.9474089
10,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,961759.0,5163.0,591284,38.37,0.03231,2.705,20.005,15.999,19.996,1239170,2101768,4774745,9997797,18113480,1239170,2101768,9997797,4774745,0.9473783
11,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,972157.0,5272.0,80636,38.37,0.03822,2.7,19.986,15.984,20.004,1236693,2097702,4773065,10001968,18109428,1236693,2097702,10001968,4773065,0.9473276
12,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,964021.0,5230.0,319606,38.377,0.03359,2.704,20.008,16.002,19.996,1238321,2108583,4760642,9997849,18105395,1238321,2108583,9997849,4760642,0.947018
13,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,964466.0,5230.0,800799,38.341,0.03358,2.702,19.998,15.997,20.001,1237913,2109191,4769928,10000739,18117771,1237913,2109191,10000739,4769928,0.94704795
14,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,971194.0,5349.0,546153,38.363,0.03744,2.713,19.982,15.992,19.993,1242722,2103167,4769974,9996356,18112219,1242722,2103167,9996356,4769974,0.9470458
15,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,968459.0,5216.0,521381,38.371,0.03565,2.703,19.993,15.997,20.004,1238088,2101443,4776069,10002243,18117843,1238088,2101443,10002243,4776069,0.94740963
16,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,963677.0,5125.0,72457,38.37,0.03317,2.709,20.006,16.004,20.001,1240219,2106186,4775999,10000633,18123037,1240219,2106186,10000633,4775999,0.9472212
17,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,973132.0,5189.0,517469,38.347,0.03868,2.697,20.004,16.005,20.001,1233874,2105697,4783672,10000463,18123706,1233874,2105697,10000463,4783672,0.94731736
18,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,969947.0,5192.0,392861,38.339,0.03669,2.694,20.016,16.002,20.013,1234061,2111770,4775978,10006570,18128379,1234061,2111770,10006570,4775978,0.94721913
19,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,971978.0,5260.0,170311,38.345,0.03811,2.699,20.002,15.996,20.009,1236472,2107187,4778470,10004552,18126681,1236472,2107187,10004552,4778470,0.9469604
20,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,969624.0,5227.0,328891,38.38,0.03649,2.701,20.006,16.0,19.992,1236907,2099841,4773686,9996013,18106447,1236907,2099841,9996013,4773686,0.94737726
21,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,974618.0,5248.0,191799,38.362,0.04032,2.708,19.991,15.998,20.0,1240179,2103625,4770836,10000009,18114649,1240179,2103625,10000009,4770836,0.94736415
22,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,973835.0,5366.0,578437,38.371,0.03932,2.699,19.994,15.999,20.003,1236394,2105499,4772627,10001259,18115779,1236394,2105499,10001259,4772627,0.94736904
23,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,966543.0,5246.0,116413,38.376,0.03474,2.7,20.008,16.003,20.004,1236592,2102620,4774791,10001982,18115985,1236592,2102620,10001982,4774791,0.9474958
24,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,964122.0,5172.0,694739,38.376,0.03341,2.706,19.994,15.998,20.001,1239331,2099606,4777546,10000371,18116854,1239331,2099606,10000371,4777546,0.94764656
25,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,973698.0,5223.0,255213,38.326,0.03949,2.696,19.996,16.004,19.999,1234351,2103304,4775922,9999653,18113230,1234351,2103304,9999653,4775922,0.94692534
26,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,968821.0,5205.0,955917,38.344,0.03596,2.701,20.0,16.004,20.003,1237157,2109716,4774246,10001585,18122704,1237157,2109716,10001585,4774246,0.9471745
27,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,971796.0,5125.0,150860,38.382,0.03798,2.706,20.007,15.999,20.004,1239220,2100461,4773318,10002216,18115215,1239220,2100461,10002216,4773318,0.9474937
28,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,971119.0,5194.0,911853,38.362,0.03741,2.705,20.007,16.002,19.999,1238451,2100209,4778180,9999389,18116229,1238451,2100209,9999389,4778180,0.9473663
29,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,969885.0,5129.0,198877,38.367,0.03673,2.706,19.993,15.999,20.004,1239373,2103297,4777234,10001910,18121814,1239373,2103297,10001910,4777234,0.94716567
