,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,962333.0,7101.0,232207,39.616,0.03601,2.485,19.98,15.999,19.988,1105939,1988676,4563771,9994053,17652439,1105939,1988676,9994053,4563771,0.9564207
1,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,946191.0,7009.0,499207,39.661,0.02947,2.482,19.999,16.009,20.001,1104966,1989734,4566762,10000381,17661843,1104966,1989734,10000381,4566762,0.95688456
2,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,957316.0,7022.0,579933,39.672,0.03357,2.486,19.994,16.002,20.009,1108064,1981915,4573099,10004565,17667643,1108064,1981915,10004565,4573099,0.95694673
3,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,967976.0,6996.0,928525,39.636,0.03928,2.488,20.006,16.0,19.993,1108112,1987787,4560829,9996511,17653239,1108112,1987787,9996511,4560829,0.95650303
4,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,968621.0,7131.0,613068,39.648,0.03965,2.485,19.991,16.003,19.998,1106901,1988684,4562026,9998925,17656536,1106901,1988684,9998925,4562026,0.9568091
5,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,970405.0,7124.0,787521,39.57,0.04107,2.485,20.021,16.011,20.006,1106437,1996072,4564663,10002832,17670004,1106437,1996072,10002832,4564663,0.9560268
6,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,967255.0,7103.0,349152,39.565,0.03885,2.484,19.992,16.003,19.989,1106627,1991987,4568196,9994405,17661215,1106627,1991987,9994405,4568196,0.955651
7,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,961713.0,6998.0,309670,39.667,0.03562,2.485,19.995,15.999,20.007,1106149,1986667,4562912,10003694,17659422,1106149,1986667,10003694,4562912,0.9570832
8,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,934145.0,6813.0,440726,39.635,0.02631,2.485,20.022,16.01,20.004,1107120,1998633,4566025,10001898,17673676,1107120,1998633,10001898,4566025,0.9566376
9,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,961424.0,6942.0,144445,39.649,0.03527,2.484,20.01,15.995,20.005,1105575,1991571,4566676,10002402,17666224,1105575,1991571,10002402,4566676,0.9569121
10,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,933391.0,6717.0,520361,39.647,0.02614,2.485,19.982,15.996,20.001,1106626,1989822,4566567,10000731,17663746,1106626,1989822,10000731,4566567,0.95690477
11,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,947882.0,6747.0,270760,39.668,0.02989,2.484,20.015,15.999,20.001,1106031,1987254,4563742,10000368,17657395,1106031,1987254,10000368,4563742,0.95700717
12,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,963593.0,7093.0,445920,39.656,0.03646,2.483,19.976,15.998,19.991,1105542,1985420,4562595,9995521,17649078,1105542,1985420,9995521,4562595,0.95694625
13,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,939312.0,6921.0,689393,39.682,0.02755,2.486,19.989,16.0,19.998,1107819,1985648,4567398,9999130,17659995,1107819,1985648,9999130,4567398,0.95722884
14,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,962629.0,7063.0,70251,39.627,0.03581,2.49,19.998,15.997,19.994,1108412,1993901,4563613,9997160,17663086,1108412,1993901,9997160,4563613,0.95645
15,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,953459.0,6907.0,989064,39.643,0.03183,2.481,20.001,16.006,19.993,1105142,1989907,4567244,9996729,17659022,1105142,1989907,9996729,4567244,0.9568159
16,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,955282.0,6971.0,234856,39.625,0.03265,2.48,19.98,15.989,20.006,1104202,1996953,4553839,10003010,17658004,1104202,1996953,10003010,4553839,0.9563354
17,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,948327.0,6928.0,850792,39.615,0.03032,2.48,20.008,16.0,19.998,1104714,1986025,4570572,9999197,17660508,1104714,1986025,9999197,4570572,0.9561586
18,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,956759.0,6864.0,669626,39.628,0.03307,2.485,19.983,16.011,20.004,1106942,1988942,4574834,10002107,17672825,1106942,1988942,10002107,4574834,0.9566692
19,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,965785.0,6969.0,481766,39.67,0.03782,2.483,20.0,15.997,20.001,1106161,1985564,4568579,10000424,17660728,1106161,1985564,10000424,4568579,0.9570577
20,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,961664.0,7062.0,516358,39.642,0.03555,2.483,20.019,15.997,20.004,1105763,1997919,4563421,10001967,17669070,1105763,1997919,10001967,4563421,0.9565003
21,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,951763.0,6955.0,56872,39.606,0.03136,2.482,20.009,16.005,20.0,1105184,1997646,4560951,10000146,17663927,1105184,1997646,10000146,4560951,0.956178
22,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,951231.0,6903.0,2113,39.639,0.0311,2.485,19.995,16.0,19.996,1107001,1990095,4566531,9997804,17661431,1107001,1990095,9997804,4566531,0.9565668
23,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,937563.0,6975.0,43907,39.605,0.02719,2.483,20.028,15.998,20.002,1105927,1991047,4567570,10000988,17665532,1105927,1991047,10000988,4567570,0.9564125
24,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,962641.0,6980.0,1438,39.658,0.03602,2.487,20.0,16.005,19.999,1108253,1992202,4563185,9999748,17663388,1108253,1992202,9999748,4563185,0.9568446
25,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,950477.0,6850.0,578972,39.642,0.03082,2.485,19.997,16.001,20.008,1107077,1992525,4566999,10003842,17670443,1107077,1992525,10003842,4566999,0.9567114
26,montenegro,1000000,1000,2020-01-01,2020-12-31,hybrid,941917.0,6860.0,308643,39.633,0.02836,2.485,19.995,15.995,19.994,1105755,1988131,4561926,9997235,17653047,1105755,1988131,9997235,4561926,0.9564989
