,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,824460.0,12258.0,658895,47.712,0.01685,1.81,20.003,16.005,19.993,665860,1402939,4248611,9996396,16313806,665860,1402939,9996396,4248611,1.0495332
1,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,853890.0,12707.0,919501,47.72,0.01861,1.806,20.016,15.999,20.006,665079,1402849,4248815,10002934,16319677,665079,1402849,10002934,4248815,1.0496777
2,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,857079.0,13115.0,340286,47.744,0.01886,1.811,20.001,16.01,20.001,666399,1406262,4246310,10000412,16319383,666399,1406262,10000412,4246310,1.050095
3,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,587714.0,8369.0,749802,47.766,0.01057,1.809,20.007,16.0,20.001,665094,1409198,4240650,10000441,16315383,665094,1409198,10000441,4240650,1.0502158
4,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,613613.0,8727.0,737528,47.719,0.01101,1.807,19.981,15.997,20.006,664956,1403740,4246828,10003169,16318693,664956,1403740,10003169,4246828,1.049536
5,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,839429.0,12481.0,91640,47.757,0.01767,1.807,20.003,16.002,19.995,664793,1406655,4243893,9997720,16313061,664793,1406655,9997720,4243893,1.0501952
6,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,862558.0,12904.0,631859,47.689,0.01933,1.807,19.976,16.01,19.995,664688,1407766,4243489,9997740,16313683,664688,1407766,9997740,4243489,1.0491109
7,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,827235.0,12551.0,789406,47.746,0.0171,1.808,19.992,16.002,19.995,664995,1395069,4255431,9997281,16312776,664995,1395069,9997281,4255431,1.0499338
8,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,661896.0,9378.0,400350,47.735,0.01186,1.807,19.994,15.99,20.006,664461,1404216,4244688,10002810,16316175,664461,1404216,10002810,4244688,1.0499755
9,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,760792.0,11108.0,630636,47.713,0.01435,1.809,19.983,15.992,20.001,665336,1403961,4243897,10000364,16313558,665336,1403961,10000364,4243897,1.0496904
10,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,704396.0,10197.0,387567,47.739,0.01273,1.808,20.009,16.001,20.008,665217,1408498,4248582,10003751,16326048,665217,1408498,10003751,4248582,1.0499353
11,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,884206.0,13623.0,755541,47.761,0.02096,1.81,19.988,16.001,19.996,666166,1415923,4234226,9998122,16314437,666166,1415923,9998122,4234226,1.0502194
12,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,692184.0,10000.0,316316,47.765,0.01249,1.808,20.011,16.001,19.997,664904,1406384,4244461,9998475,16314224,664904,1406384,9998475,4244461,1.050213
13,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,856687.0,12799.0,419401,47.716,0.01878,1.804,19.995,16.004,19.999,662916,1407472,4245382,9999284,16315054,662916,1407472,9999284,4245382,1.0495012
14,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,831477.0,12440.0,860914,47.73,0.01727,1.806,19.986,15.999,20.002,663152,1405556,4240727,10000965,16310400,663152,1405556,10000965,4240727,1.0497934
15,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,767846.0,11122.0,7792,47.735,0.01453,1.811,20.006,15.994,20.002,665764,1408168,4243552,10000884,16318368,665764,1408168,10000884,4243552,1.0499895
16,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,899246.0,13686.0,967467,47.746,0.02251,1.805,20.014,15.994,20.002,663956,1407164,4241701,10001115,16313936,663956,1407164,10001115,4241701,1.0499761
17,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,773499.0,11515.0,534752,47.705,0.01477,1.809,20.012,15.992,20.001,665966,1406861,4242569,10000606,16316002,665966,1406861,10000606,4242569,1.0495485
18,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,855752.0,12970.0,143892,47.713,0.01879,1.805,20.005,15.993,20.003,663500,1405945,4242838,10001606,16313889,663500,1405945,10001606,4242838,1.0497193
19,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,882032.0,13453.0,260054,47.714,0.02079,1.809,20.033,16.0,19.999,664591,1412632,4243646,9999546,16320415,664591,1412632,9999546,4243646,1.0496475
20,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,809431.0,11868.0,644704,47.764,0.01614,1.807,19.999,16.002,20.008,665064,1399065,4251179,10003773,16319081,665064,1399065,10003773,4251179,1.0502719
21,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,824708.0,12361.0,125395,47.762,0.01691,1.805,20.005,15.998,20.001,663741,1401472,4241477,10000327,16307017,663741,1401472,10000327,4241477,1.050251
22,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,821881.0,12154.0,625491,47.742,0.01682,1.811,20.007,15.989,20.0,666414,1406522,4239428,10000063,16312427,666414,1406522,10000063,4239428,1.049829
23,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,761459.0,11209.0,665200,47.699,0.01437,1.809,20.007,16.003,19.999,664492,1407065,4248308,9999638,16319503,664492,1407065,9999638,4248308,1.0492924
24,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,865236.0,13028.0,92429,47.772,0.01935,1.811,19.994,15.996,20.002,666169,1402119,4243280,10000915,16312483,666169,1402119,10000915,4243280,1.0501688
25,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,811034.0,11965.0,435574,47.714,0.01631,1.806,20.003,15.993,19.999,663935,1406088,4243893,9999510,16313426,663935,1406088,9999510,4243893,1.0497878
26,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,825823.0,12402.0,752502,47.725,0.01697,1.806,19.994,16.004,19.994,663213,1401858,4246934,9997233,16309238,663213,1401858,9997233,4246934,1.0497713
27,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,753988.0,10953.0,310205,47.738,0.01417,1.811,19.994,15.994,19.993,666090,1401560,4247479,9996327,16311456,666090,1401560,9996327,4247479,1.0497842
28,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,313648.0,4204.0,789480,47.725,0.00789,1.807,19.999,15.993,20.0,664961,1404986,4247967,9999788,16317702,664961,1404986,9999788,4247967,1.0498589
29,japan,1000000,1000,2020-01-01,2020-12-31,hybrid,746092.0,10735.0,926871,47.754,0.01386,1.809,20.005,16.001,19.995,664780,1402615,4249680,9997358,16314433,664780,1402615,9997358,4249680,1.0500326
